opcode,mean_count,percentage_of_all_opcodes
OP_GET_GLOBAL,203912036.0,17.647852179084936
OP_CONSTANT,164514920.0,14.238173706499522
OP_POP,163915968.0,14.186336568458454
OP_GET_LOCAL,90932804.0,7.869906625922285
OP_SET_GLOBAL,85547000.0,7.403784690591678
OP_ADD,71958960.0,6.227788775747822
OP_JUMP_IF_FALSE,71702944.0,6.205631513174657
OP_SUBTRACT,43927912.0,3.8018025454458773
OP_RETURN,39483964.0,3.417194854139513
OP_LESS,38885028.0,3.3653591008408092
OP_CALL,36150932.0,3.1287329408654982
OP_GREATER,32817916.0,2.8402724123338476
OP_NOT,32817916.0,2.8402724123338476
OP_LOOP,27775000.0,2.4038261982440514
OP_DIVIDE,22220000.0,1.9230609585952412
OP_MULTIPLY,11110000.0,0.9615304792976206
OP_JUMP,5555000.0,0.4807652396488103
OP_GET_UPVALUE,3333008.0,0.2884598361604684
OP_SET_PROPERTY,2222004.0,0.19230644204511518
OP_INVOKE,2222004.0,0.19230644204511518
OP_NIL,1111032.0,0.09615581741449089
OP_SET_UPVALUE,1111004.0,0.09615339411535315
OP_GET_PROPERTY,1111004.0,0.09615339411535315
OP_SUPER_INVOKE,1111000.0,0.09615304792976204
OP_DEFINE_GLOBAL,116.0,1.0039382142081366e-05
OP_CLOSURE,40.0,3.4618559110625395e-06
OP_PRINT,32.0,2.769484728850032e-06
OP_METHOD,24.0,2.0771135466375242e-06
OP_CLASS,16.0,1.384742364425016e-06
OP_INHERIT,4.0,3.46185591106254e-07
OP_CLOSE_UPVALUE,4.0,3.46185591106254e-07
